iter	MultiClass
0	1.361299632
1	1.229185899
2	1.146751302
3	1.104006221
4	1.069595776
5	1.040891356
6	1.021881049
7	1.008183845
8	0.9989625972
9	0.9868964108
10	0.9808136917
11	0.9685414728
12	0.9630207655
13	0.9488813417
14	0.940078129
15	0.9282207514
16	0.9207955086
17	0.9138492461
18	0.9039415484
19	0.8972821567
20	0.8896618438
21	0.8841393603
22	0.8795304423
23	0.8726707073
24	0.8707759835
25	0.8669502142
26	0.8588208119
27	0.8537902116
28	0.8490842515
29	0.8377291214
30	0.832788117
31	0.8229554963
32	0.8188478353
33	0.8129750505
34	0.8061475709
35	0.8033849989
36	0.800066266
37	0.7929049946
38	0.7861626921
39	0.7796532491
40	0.7768263885
41	0.7700938288
42	0.7662073139
43	0.7613217652
44	0.7552223407
45	0.7502702735
46	0.7454999962
47	0.7410259515
48	0.7362312223
49	0.7281490535
