iter	Passed	Remaining
0	19	967
1	34	836
2	45	715
3	56	652
4	66	597
5	75	556
6	85	524
7	94	497
8	103	473
9	113	454
10	122	434
11	131	417
12	141	403
13	152	392
14	162	378
15	172	365
16	182	354
17	192	342
18	202	329
19	211	317
20	220	304
21	230	292
22	239	281
23	250	271
24	260	260
25	269	249
26	279	237
27	288	226
28	298	215
29	307	205
30	317	194
31	327	184
32	337	173
33	346	163
34	355	152
35	364	141
36	374	131
37	383	121
38	393	110
39	402	100
40	412	90
41	421	80
42	431	70
43	440	60
44	450	50
45	459	39
46	468	29
47	477	19
48	488	9
49	498	0
